Spanish,English,yo,tu,es,nosotros,vosotros,ustedes
ver,to see,veo,ves,ve,vemos,veis,ven
saber,to know (fact or info),sé,sabes,sabe,sabemos,sabéis,saben
conocer,to be familiar with,conozco,conoces,conoce,conocemos,conocéis,conocen
dar,to give,doy,das,da,damos,dais,dan
ser,to be (inherent),soy,eres,es,somos,sois,son
estar,to be (temporary),estoy,estás,está,estamos,estáis,están
ir,to go,voy,vas,va,vamos,vais,van
tener,to have,tengo,tienes,tiene,tenemos,tenéis,tienen
detener,to detain,detengo,detienes,detiene,detenemos,detenéis,detienen
hacer,to make/do,hago,haces,hace,hacemos,hacéis,hacen
deshacer,to undo,deshago,deshaces,deshace,deshacemos,deshacéis,deshacen
venir,to come,vengo,vienes,viene,venimos,venís,vienes
decir,to say/tell,digo,dices,dice,decimos,decís,dicen
salir,to leave,salgo,sales,sale,salimos,salís,salen
poner,to put/place,pongo,pones,pone,ponemos,ponéis,ponen
oír,to hear,oigo,oye,oyes,oímos,oís,oyen
caerse,to fall,me caigo,te caes,se cae,nos caemos,os caéis,se caen
seguir,to follow,sigo,sigues,sigue,seguimos,seguís,siguen
traer,to bring/carry,traigo,traes,trae,traemos,traéis,traen
parecer,to seem,parezco,pareces,parece,parecemos,parecéis,parecen
aparecer,to appear,aparezco,apareces,aparece,aparecemos,aparecéis,aparecen
nacer,to be born,nazco,naces,nace,nacemos,nacéis,nacen
ofrecer,to offer,ofrezco,ofreces,ofrece,ofrecemos,ofrecéis,ofrecen
reconocer,to recognize,reconozco,reconoces,reconoce,reconocemos,reconocéis,reconocen
traducir,to translate,traduzco,traduces,traduce,traducimos,traducís,traducen
producir,to produce,produzco,produces,produce,producimos,producís,producen
reducir,to reduce,reduzco,reduces,reduce,reducimos,reducís,reducen
conducir,to drive,conduzco,conduces,conduce,conducimos,conducís,conducen
enviar,to send,envío,envías,envía,enviamos,enviáis,envían
esquiar,to ski,esquío,esquías,esquía,esquiamos,esquiáis,esquían
graduarse,to graduate,me gradúo,te gradúas,se gradúa,nos graduamos,os graduáis,se gradúan
continuar,to continue,continúo,continúas,continúa,continuamos,continuáis,continúan
desafiar,to challenge/dare,desafío,desafías,desafía,desafiamos,desafiáis,desafían
actuar,to act,actúo,actúas,actúa,actuamos,actuáis,actúan
efectuar,to make/have an effect,efectúo,efectúas,efectúa,efectuamos,efectuáis,efectúan
guiar,to guide,guío,guías,guía,guiamos,guiáis,guían
confiar,to trust,confío,confías,confía,confiamos,confiáis,confían
fiarse,to vouch for,me fío,te fías,se fía,nos fiamos,os fiáis,se fían
resfriarse,to catch a cold,me resfrío,te resfrías,se resfría,nos resfriamos,os fresfriáis,se resfrían
variar,to vary,varío,varías,varía,variamos,variáis,varían
huir,to flee,huyo,huyes,huye,huimos,huís,huyen
incluir,to include,incluyo,incluyes,incluye,incluimos,incluís,incluyen
concluir,to conclude,concluyo,concluyes,concluye,concluimos,concluís,concluyen
destruir,to destroy,destruyo,destruyes,destruye,destruimos,destruís,destruyen
construir,to construct,construyo,construyes,construye,construimos,construís,construyen
escoger,to pick/choose,escojo,escoges,escoge,escogemos,escogéis,escogen
corregir,to correct,corrijo,corriges,corrigo,corregimos,corregís,corrigen
elegir,to elect,elijo,eljiges,elige,elegimos,elegís,eligen
exigir,to insist,exijo,exiges,exige,exigimos,exigís,exigen
fingir,to pretend,finjo,finges,finge,fingimos,fingís,fingen
proteger,to protect,protejo,proteges,protege,protegemos,protegéis,protegen
coger,to take/catch,cojo,coges,coge,cogemos,cogéis,cogen
recoger,to gather/pick up,recojo,recoges,recoge,recogemos,recogéis,recogen
dirigir,to direct,dirijo,diriges,dirige,dirigimos,dirigís,dirigen
volver,to return (place),vuelvo,vuelves,vuelve,volvemos,volvéis,vuelven
almorzar,to eat lunch,almuerzo,almuerzas,almuerza,almorzamos,almorzáis,almuerzan
costar,to cost,cuesto,cuestas,cuesta,costamos,costáis,cuestan
contar,to count,cuento,cuentas,cuenta,contamos,contáis,cuentan
devolver,to return (item),devuelvo,devuelvas,devuelve,devolvemos,devolvéis,devuelven
dormir,to sleep,duermo,duermes,duerme,dormimos,dormís,duermen
encontrar,to find,encuentro,encuentras,encuentra,encontramos,encontráis,encuentran
llover,to rain,lluevo,lluevas,llueve,llovemos,lloveís,llueven
morir,to die,muero,mueres,muere,morimos,morís,mueren
mover,to move,muevo,muevas,mueve,movemos,movéis,mueven
poder,to be able to,puedo,puedes,puede,podemos,podéis,pueden
recordar,to remember,recuerdo,recuerdas,recuerda,recordamos,recordáis,recuerdan
acostarse,to go to bed,acuesto,acuestas,acuesta,acostamos,acostáis,acuestan
mostrar,to show,muestro,muestras,muestra,mostramos,mostráis,muestran
probar,to try/taste,pruebo,pruebas,prueba,probamos,probáis,prueban
soñar,to dream,sueño,sueñas,sueña,soñamos,soñáis,sueñan
colgar,to hang up,cuelgo,cuelgas,cuelga,colgamos,colgáis,cuelgan
rogar,to beg,ruego,ruegas,ruega,rogamos,rogáis,ruegan
sonar,to sound/ring,sueno,suenas,suena,sonamos,sonáis,suenan
volar,to fly,vuelo,vuelas,vuela,volamos,voláis,vuelan
pedir,to ask for/order,pido,pides,pide,pedimos,pedís,piden
repetir,to repeat,repito,repites,repite,repetimos,repetís,repiten
servir,to serve,sirvo,sirves,sirve,servimos,servís,sirven
competir,to compete,compito,compites,compite,competimos,competís,compiten
despedirse,to say goodbye to,me despido,te despides,se despide,nos despedimos,os despedís,se despiden
vestirse,to get dressed,me visto,de vistes,se viste,nos vestimos,os vestís,se visten
medir,to measure,mido,mides,mide,medimos,medís,miden
freír,to fry,frío,fríes,fríe,freímos,freís,fríen
conseguir,to get,consigo,consigues,consigue,conseguimos,conseguís,consiguen
perseguir,to pursue,persigo,persigues,persigue,perseguimos,perseguís,persiguen
reírse,to laugh,me río,te ríes,se ríe,nos reímos,os reís,se ríen
sonreírse,to smile,me sonrío,te sonríes,se sonríe,nos sonreímos,os sonreís,se sonríen
impedir,to impede,impido,impides,impide,impedimos,impedís,impiden
gemir,to moan/groan,gimo,gimes,gime,gemimos,gemís,gimen
bendecir,to bless,bendigo,bendices,bendice,bendecimos,bendecís,bendicen
maldecir,to curse,maldigo,maldices,maldice,maldecimos,maldecís,maldicen
cerrar,to close,cierro,cierras,cierra,cerramos,cerráis,cierran
empezar,to start,empiezo,empiezas,empieza,empezamos,empezáis,empiezan
entender,to understand,entiendo,entiendes,entiende,entendemos,entendéis,entienden
confesar,to confess,confieso,confiesas,confiesa,confesamos,confesáis,confiesan
nevar,to snow,nievo,nievas,nieva,nevamos,neváis,nievan
pensar,to think,pienso,piensas,piensa,pensamos,pensáis,piensan
querer,to want,quiero,quieres,quiere,queremos,queréis,quieren
despertarse,to wake up,me despierto,te despiertas,se despierta,nos despertamos,os despertáis,se despiertan
comenzar,to start,comienzo,comienzas,comienza,comenzamos,comenzáis,comienzan
recomendar,to recommend,recomiendo,recomiendas,recomienda,recomendamos,recomendáis,recomiendan
sentarse,to sit down,siento,sientas,sienta,sentamos,sentáis,sientan
perder,to lose,pierdo,pierdas,pierda,perdamos,perdáis,pierdan
divertirse,to have fun,me divierto,te diviertas,se divierta,nos divertimos,os divertís,se diviertan
preferir,to prefer,prefiero,prefieres,prefiera,preferimos,preferís,prefieren
requerir,to require,requiero,requieres,requiere,requeremos,requeréis,requieren
sugerir,to suggest,sugiero,sugieres,sugiere,sugeremos,sugeréis,sugieren
mentir,to lie,mientro,mientres,mientre,mentimos,mentís,mienten
hervir,to boil,hiervo,hierves,hierve,hervimos,hervís,hierven
sentir,to feel,siento,sientes,siente,sentimos,sentís,sienten
advertir,to warn,advierto,adviertes,advierte,advertimos,advertís,advierten
convertir,to convert,convierto,conviertes,convierte,convertimos,convertís,convierten
encender,to light/turn on,enciendo,enciendes,enciende,encendemos,encendéis,encienden
negar,to negate,niego,niegas,niega,negamos,negáis,niegan
temblar,to tremble,tiemblo,tiemblas,tiembla,temblamos,tembláis,tiemblan
tropezar,to run into/trip,tropiezo,tropiezas,tropieza,tropezamos,tropezáis,tropiezan
jugar,to play,juego,juegas,juega,jugamos,jugáis,juegan
